,Username,Content,Location,Created at,Month
179,nadaliciasihna,"salila 31 taun kumelendang di alam dunya, baru ditahun ini ku menemukan 3 sekretaris kelas yang typo nulis nama aku di agenda.  apakah sudah gawat darurat literasi karena udah lama gak ptm?",,2022-01-05 11:12:22+00:00,
180,jawapos,serahkan kembali kepada satgas penghentian ptm,Jakarta,2022-01-05 11:04:45+00:00,
181,Chrs49937622,@crqvity kasus positiv aja udh 6000 lebih hari ini kasus sembuh nya juga 6000+ tapi tetep aja positive tinggi banget dan kesembuhan kan g selalu konsisten kalo positive bisa naek terus    tinggal tunggu pemerintah aja keluarin aturan baru   udh g memungkinkan ptm soal nya,,2022-01-05 10:53:49+00:00,
182,aleaaiueol,"trend ini. sebenernya balik ke kesadaran masing masing gasi? kaya iya tau kan belajar sampe malem bangettt, apalagi ini perubahan dari daring ke ptm yg udah mau normal kaya dulu (full day). tapi ya inget klo ada hubungan spesial sama orang.",,2022-01-05 10:53:26+00:00,
183,antoniohamsun,#rrss hamsun @viajempdernidos: 'ptm 😭 '  see more,Puebla de los Ángeles,2022-01-05 10:52:53+00:00,
184,rekha35609163,@peachywonnn apalagi yg ptm di studio choom...itu aneh banget kombinasi warnanya tp ada yg bilang itu best outfit dia,,2022-01-05 10:45:49+00:00,
185,kinnx__,"@convomfs ujung nya ya canggung lah bestie, untung aj apas ke canggungan itu terjadi lagi ptm dan gua ama dia beda sesi :)) jan deh pokonya jan pernah suka sama temen sekelas !!",ublabeled acc,2022-01-05 10:14:31+00:00,
186,kunlaluv,"@schfess setuju nder, awal ptm aku temenan sm anak yg pendiem bgtt tapi ternyata dia pinter. senengnya lagi dia welcome ke aku, trs kalo aku ga paham materi, dia bener2 ngejelasin sampe aku paham",Indonesia,2022-01-05 10:04:02+00:00,
187,KimBoisIlakes,"kegiatan ptm posko peduli pendidikan tp pkk kelurahan blimbing. salah satu warga belajar paket a yg berusia 11 tahun setara sd. kegiatan ini diadakan setiap rabu malam, bertempat di posko peduli pendidikkan. banyak murid yang hadi.3/8/2022","Blimbing, Indonesia",2022-01-05 10:03:43+00:00,
188,arcticigaretts,pernah anjritt gara-gara lupa rumus terus malah gak gue catet. malu bgt mana udah ptm 100%,she/they,2022-01-05 09:59:22+00:00,
189,aandreaani,ptm bikin rambut cepet lepek...kalo sehari ga kramas besoknya kyk lepek banget gasuka😤,,2022-01-05 09:58:43+00:00,
190,crushlici0us,@jejesdaily @convomfs woi gw benci bgt ptm msk jam 7 plg jam 5 soreeeee gw benci bgt mau pjj 😐😐😔😭,,2022-01-05 09:58:37+00:00,
191,jzjhnnjlh,haloo? kangen banget jbjb😭 maap yaa minggu ini mulai sibuk karena sekolah udh mulai ptm full huhuu,"Bandung, Jawa Barat",2022-01-05 09:58:33+00:00,
192,iS2mnji,jungsu te qmifuda ptm,"Wonyo, minji y BIBI mias",2022-01-05 09:38:52+00:00,
193,anakmsebeth,yall had a normal class? aku nggak. aku punya 8c. kelas yg pasifnya astaga tuhann bener bener diem doang selama brp bulan ptm walaupun aku ngerasain itu cmn 5 hari pas ptm wajib tapi terus tbtb eowyn ini ngide ngajak makan makan di cimm trus ternyata pas pasan sama ultah opel,,2022-01-05 09:29:04+00:00,
194,mediaindonesia,"sebanyak 23 siswa dan seorang guru reaktif covid -19, sman 3 kota tangerang selatan, berlakukan pembelajaran tatap muka (ptm) 50 persen.",Jakarta - Indonesia,2022-01-05 09:18:30+00:00,
195,2020Berita,kemendikbudristek terbitkan se baru panduan ptm di masa pandemi covid-19,"Bandung, Jawa Barat",2022-01-05 09:10:30+00:00,
196,cintabitcoin,asn kemenag padang panjang ikuti screening ptm | moslem today #bitcoin #kripto,Indonesia,2022-01-05 09:09:57+00:00,
197,SKHmemorandum,komisi d dorong dispendik surabaya masifkan sosialisasi se diskresi ptm terbaru ke sekolah    #komisid #dispendik #surabaya #sosialisasi #se #sekolah #memorandum #dewan #dprd #dinaspendidikan #sosialsiasi #menteri #tatapmuka #pendidikan #pandemi #covid19,ketintang baru 3 /91 surabaya,2022-01-05 09:06:59+00:00,
198,anakmsebeth,@convomfs seru bgtttt the 4 days aku ptm bnr bnr enak pulang jam 12 😍😍😍😍😍,,2022-01-05 08:57:54+00:00,
199,RSGaming41,finally ptm meeting khatam ho gaya yaar  😌😌😌😌 #ptmover,,2022-01-05 08:51:50+00:00,
200,Shanghong20,"@yulivianazsazsa daripada setop ptm mending setop pak nadiem aja jadi mentri dah   betul tidak ,?","DKI Jakarta, Indonesia",2022-01-05 08:49:56+00:00,
201,beyoutheefull,nyobain koreo ptm bikin otak gue pusing tangan sama kaki gue gamau sinkron,,2022-01-05 08:48:17+00:00,
202,Bosowa27,"@sherpa701 @pacarsherpa701 @mercyzheng nah ini pemeran utama sudah muncul, tinggal nunggu sultan ptm kasih emoji 🤭🤭",Jerman Tengah,2022-01-05 08:47:55+00:00,
203,MuradKh01757955,"@peaceforchange @vofbalochistan ghafoor sab aapki bari izzat hy dil mey  lekin eik baat tu btaen jis ptm ke bare mey aap ny khud kaha tha ke ye india se funding lete hy, wo mohsin dawar aaj govt mey kion betha hy??",Lahore,2022-01-05 08:44:28+00:00,
204,myaeriselle,@yumiwithluv btw kal mera science fest hai and ptm. phir coaching mein test bhi.,she/her | desi ,2022-01-05 08:37:34+00:00,
205,ull50928990,@imranwaxiri wazira ptm wala kha khoshal de che kala bajwa pase trend v,,2022-01-05 08:25:06+00:00,
206,matakitaco,"bersama pimpinan 45 ptm, rektor umgo hadiri pelepasan peserta kkn-mas di unismuh makassar:  makassar – kuliah kerja nyata muhammadiyah-aisyiyah (kkn mas) merupakan bentuk kkn gabungan yang melibatkan perguruan tinggi muhammadiyah",Kota Makassar,2022-01-05 08:08:03+00:00,
207,RadioSmartFM,epidemiolog dari griffith university australia dicky budiman mengatakan pembelajaran tatap muka (ptm) 100 persen tetap penting dilaksanakan sekalipun saat ini kasus covid-19 meningkat.  #smartnews @kompascom,Jl. Kebahagiaan No.4-14Jakarta,2022-01-05 07:45:00+00:00,
208,beritacovid,"#23 siswa sman 3 tangsel positif covid, ptm kembali dibatasi 50 persen -  -  #covid #covid19",,2022-01-05 07:45:00+00:00,
209,dotarakaaa,semenjak ptm 100% jadi sering ketemu mas crush xixixi,in your heart💗,2022-01-05 07:43:04+00:00,
210,okay_itsokayy,"@schfess yagapapaa. tapi kelasku pas ptm sejak new normal gini jadi meja kursinya dikasi jarak jarak gitu jadi gaada yg bener bener temen sebangku. jadi yaa asal milih tempat yg nyaman aja udah, gaperlu mikir chairmate",,2022-01-05 07:34:45+00:00,
211,kumparan,temuan 23 kasus usai pihak sekolah melakukan tracing. #kumparannews,,2022-01-05 07:06:38+00:00,
212,bayussab,"dulu awal ptm kelas 11 semangat banget masuk sekolah bakal ngobrol sama temen-temen, tapi makin kesini makin terbentuklah sirkel hahahah, i feel najis for all the circle around me fr, i hate for being attractive since all of my classmate made they own circle hahah ngl","Sleman, Indonesia",2022-01-05 06:44:27+00:00,
213,astaad_234,"@its_salahuddin1 @chiryaclub 2013 sy kpk mn khan ki hakomat hai kya hogya, lahore gujranwala faislabad mn bhi tagra nahi tha wahan to khary kiye umeedwar wahan to nahi kaha k vote bank nahi is liye banda hi khara nahi kiya, actually khan ki seat adjustment thi ptm k sath",Hangover of her memories ,2022-01-05 06:43:25+00:00,
214,regisssga_,ptm mi orgulloooo😔,,2022-01-05 06:40:57+00:00,
215,Muhamma01601760,@fadiviews @naya__pakistan_ o lakh di lanat e ptm nhi pdm hota ha.,"Gujranwala, Pakistan",2022-01-05 06:22:00+00:00,
216,kompascom,dicky mengatakan vaksinasi covid-19 harus digencarkan selama pemerintah daerah tetap memberlakukan pembelajaran tatap muka (ptm),Jakarta,2022-01-05 06:17:09+00:00,
217,NaseeB_Nasar_56,@noorullah_ptm bilkul mshra,,2022-01-05 06:01:14+00:00,
218,dwikmahndr,"tambahan,bentar lagi ptm 100% jadi kemungkinan besar takor yg kecil ini akan over kapasitas dan  bakal nyebar ke tongkrongan jurusan, jadi jan sampe lu tinggalin sisa makanan lu disana yaak nb: self-reminder buat diri sendiri dan yg liat twitt ini","Jakarta Selatan, DKI Jakarta",2022-01-05 05:55:59+00:00,
219,r1n_n1w,ptm = pengen turu maeeee jam2 segini dah mager beud bljr,🍀 ,2022-01-05 05:42:23+00:00,
220,avazquezzc,@ ptm rttt.,,2022-01-05 05:40:16+00:00,
221,chocormra,"@loveschelle_ udh sbnrnya tpi lagi bk, mulai ptm plg jam 12",she/her/hers minor,2022-01-05 05:22:56+00:00,
222,BabyMcNugget,ptm warner yaaaa,,2022-01-05 05:14:58+00:00,
223,stardnstheart,ptm jeonghaaaaan,,2022-01-05 05:03:09+00:00,
224,SOLOPOSFM,aturan ptm terbaru: ptm disetop jika siswa positif covid-19,Solo Indonesia,2022-01-05 05:00:01+00:00,
225,Isti52863208,@ag865ok @pratiwi8810 @elinadio @doro_m4nuk @nirma2308 @wis_embuhlah berarti bunda sultan @ritafauzh  ketum ptm yg super duper abegeh sekarang ada saingannya donk...🤭😀😀,vmc center,2022-01-05 04:48:34+00:00,
226,gupikhaobb,bila juga result ptm kami ni ada hshshs,she/her,2022-01-05 04:44:55+00:00,
227,abrahamfirdaus,wfo/ptm tuh udah ga harus :(,Jakarta Capital Region,2022-01-05 04:41:54+00:00,
228,nctdoyouung,@zaaucoo untung udah ptm,NCTz,2022-01-05 04:35:42+00:00,
229,Delxzz_,ptm man,México,2022-01-05 04:30:40+00:00,
230,SupriaSupriadi,asn kemenag padang panjang ikuti screening ptm,Jln Soekarno Hatta No110  Prm,2022-01-05 04:30:33+00:00,
231,Aku_MohArwani,@ritafauzh ptm dan slogannya jangan sampai diganti lho bu sul🤣,,2022-01-05 04:28:20+00:00,
232,henyper,"sekolah sdh offline/ptm bahkan fullday, stok masker harus ckp,ditambah anak2 yg jijik an😑 sekali buka buat mnm aja buang, ganti gt trus😂 bo to the ros nyari masker murah tp ga murahan,nih sy ksh link👇   semoga bermanfaat❤️ #masker","Bandung, Jawa Barat",2022-01-05 04:24:10+00:00,
233,snflwrly_,kayaknya mau online lagi deh atau ptm 50%,,2022-01-05 04:18:31+00:00,
234,kissbumblee,@tl0vsjk ptm jakdauak,"Lima, Peru",2022-01-05 04:17:20+00:00,
235,aidalanuza71,ptm yaaaaaaa,,2022-01-05 04:17:20+00:00,
236,OxBigWin_777,@ritafauzh @leonita_lestari @ronnyyulianto7 bunda ptm hadir memberi solusi keras untuk menguatkan... ptm... yessss... 🤟,Rasa Syukur,2022-01-05 03:58:59+00:00,
237,lvskenai,@tigrisco_ kenai ptm,Kenai heart,2022-01-05 03:54:21+00:00,
238,radarjogja,penghentian ptm diserahkan ke satgas  via @radarjogja,"Sleman, Indonesia",2022-01-05 03:52:04+00:00,
239,CTAEQXL,jajjajajja ptm memkdekf,࿐ ࿔*:･ﾟ OT7,2022-01-05 03:47:05+00:00,
240,Ruqijan,@marwanwazir786 @sanayousafzai9 @fatimapti_ik @pmlndefene @arfabhutto786 ptm=anp,Islamabad🇵🇰🇦🇫,2022-01-05 03:32:56+00:00,
241,styayc,@hwyune aamiinn semoga senen udah ptm lagii,"ranting, certified seeun bot",2022-01-05 03:17:11+00:00,
242,jawapos,ptm di medan tetap 100 persen,Jakarta,2022-01-05 03:08:55+00:00,
243,Sonaya79085379,@jo_yesungsj ptm 100% sekolah diminta perketat prokes  booster proteksi tubuh,,2022-01-05 03:04:18+00:00,
244,anam_kuwox,satgas covid-19: anak perlu diajarkan disiplin prokes selama sekolah ptm   booster proteksi tubuh,Jakardah kudus kota kretek,2022-01-05 03:01:37+00:00,
245,Sonaya79085379,@sadidawoaini booster proteksi tubuh  ptm 100% sekolah diminta perketat prokes,,2022-01-05 03:01:14+00:00,
246,iniroseblekpink,"gue juga kalo lagi karaoke ptm ayah gue  lgsg blg gni ""lagu apaansi dek kok liriknya turu ah turu ah"" 😭😭😭",,2022-01-05 02:42:34+00:00,
247,mauriciomtzz_,ptm ajksja,Chromatica,2022-01-05 02:41:01+00:00,
248,kissbumblee,@jjeon_jk07 nik ptm basta,"Lima, Peru",2022-01-05 02:29:11+00:00,
249,kissbumblee,@jjeon_jk07 nik ptm,"Lima, Peru",2022-01-05 02:28:24+00:00,
250,kissbumblee,@jjeon_jk07 nik ptm,"Lima, Peru",2022-01-05 02:27:42+00:00,
251,yoonginistagay,@koookswy oe si ptm,cogiendo con tu abuela ,2022-01-05 02:19:26+00:00,
252,CamilaCristellC,oe ptm,,2022-01-05 02:18:44+00:00,
253,keigguk,pelean* ptm tengo dislexia,she/her ,2022-01-05 02:15:11+00:00,
254,mbaprichpurwan4,"suasana belajar matematika secara delivery (ptm) , ada siswa yang  masuk padahal baru terlanggar di jalan raya. pelajar berkeselamatan sudah disampaikan. bahwa helm sni, usia pelajar minimal 17 tahun atau bersim, masih harus disosialisasikan.",,2022-01-05 02:14:04+00:00,
255,NttInfo,satgas covid-19: anak perlu diajarkan disiplin prokes selama sekolah ptm. booster proteksi tubuh,"Nusa Tenggara Timur, Indonesia",2022-01-05 02:09:45+00:00,
256,Wahyudi01f,tetap jaga protokol kesehatan walaupun ptm. booster proteksi tubuh,,2022-01-05 01:59:42+00:00,
257,MonsieurMartinR,"ptm, mi iphone once",ecuador,2022-01-05 01:51:51+00:00,
258,Vikoretto,ptm again.,,2022-01-05 01:36:37+00:00,
259,yryanagi_,naegi ptm,"Yushiro, Kazuha, Dazai, Gu. ",2022-01-05 01:33:52+00:00,
260,Riau24Com,5 tips cegah anak tertular cacar monyet selama masa pertemuan tatap muka (ptm) di sekolah,Pekanbaru,2022-01-05 01:15:08+00:00,
261,devervile,"sarapanku hari ini adalah ptm, attention, dan klip ost i need the light 🥲  cepatlah tgl 12. aku ngenes 😭😭",Decelis Academy 🏫,2022-01-05 01:06:04+00:00,
262,artcastelo0,ptm keno,,2022-01-05 00:45:58+00:00,
263,erenyeagehr,semoga sekolahnya ptm terus 😁😁,👁️⃤,2022-01-05 00:36:07+00:00,
264,SwiftRetort0227,@sadenwala kiun k ye sab unki banai hui proxies hain jin ko wo aik dosray k against use karti ayi hai  mqm banaya kis nay sab jantay hain. ppp ko counter karnay k liye. tlp pmln ko. mujhay to ptm per bhe shak hai k ye bhe homegrown hai.,,2022-01-05 00:22:44+00:00,
265,sonorafmjogja,"#selamatpagijogja l #tribunjogja l wajib bermasker saat ptm, disdik gunungkidul mulai siapkan rencana skrining aacak covid-19 di kalangan pelajar #radio #sonorafmyogyakarta",Yogyakarta,2022-01-05 00:15:41+00:00,
266,anakmsebeth,@minisuniv makanya ptm sayang,,2022-01-05 00:00:34+00:00,
267,LucianoGarciaA7,tan angela ptm,,2022-01-11 23:39:52+00:00,
268,M4dchild,gua jadi benci bgt ptm ngapa dah,them 14,2022-01-11 23:38:21+00:00,
269,ayreiseo,"@mujigaechoco pjj rasanya bodoh bgt, ptm rasanya cape bgt",bekasi/padang,2022-01-11 23:21:13+00:00,
270,fckmemoboyy,"ptm derek hale, isaac laheyy y stiles stilinski &gt;&gt;&gt;",inbedwithurmom,2022-01-11 23:20:35+00:00,
271,kissbumblee,ptm ya,"Lima, Peru",2022-01-11 22:49:18+00:00,
272,CNNIndonesia,6 cara cegah anak kena cacar monyet selama ptm,,2022-01-11 22:36:47+00:00,
273,beomgyurinn,// spoilers bnha  . . . . . . . . .  jalqmeiwksnsnsns ptm,ivan ! he-him ! 18 ,2022-01-11 21:57:12+00:00,
274,nmmsamoelcafe,@elsymjb_ ptm elsyyyyyyy,aora noes el momento ,2022-01-11 21:53:29+00:00,
275,lovingJayP4rk,"yang bener aja ini mah, hari pertama ptm lagi malah hujan???",Jay's heart,2022-01-11 21:37:17+00:00,
276,Hamoudaraeesani,@monaliza2613 allah de ta poha k no dade da lasa zamong da ptm margare sar khwarali wo zaka darta wem💔,sakhakot malakand,2022-01-11 20:45:29+00:00,
277,Hamoudaraeesani,@monaliza2613 allah de ta poha k no dade da lasa zamong da ptm margare sar khwarali wo zaka darta wem💔,sakhakot malakand,2022-01-11 20:45:29+00:00,
278,francetic4_yael,hdrmp bekir y la ptm😡😡🤬🤬🥺🥺😭😭,"Córdoba, Argentina",2022-01-11 20:38:36+00:00,
279,hfxloustdy,@lovaurum iyaa apalagi udah lama ga ptm sampe soree dan kelamaan daring😭,medstud²³,2022-01-11 20:30:00+00:00,
280,cristianvgga,@cervpaola_ cobach********** ptm,,2022-01-11 20:24:10+00:00,
281,Imrankasuri11,@arysabiirshakir ptm ya pdm  friq  ho jana chay ta ky pta chly,"Riyadh, Kingdom of Saudi Arabi",2022-01-11 20:13:02+00:00,
282,ivan_quiroz23,ptm yaaaaaa,,2022-01-11 20:12:43+00:00,
283,brandondamid,"ptm, era tajiiiin*",Andromeda,2022-01-11 19:53:15+00:00,
284,imusaibkhan,imran sold kashmir.  imran sold sbp.  imran brought ptm.   #bajwasoldthenation,Indian occupied Kashmir ,2022-01-11 19:24:06+00:00,
285,Shamskakar27,"@sdqjaan ye wahi tu nahi jenho ne ek zemdar position pe rehty hoi official briefing de thi ke mohsin dawar and ptm india or israel se funding laite hain,  kya ajj b ye apny bat par qaim hain???",,2022-01-11 19:23:45+00:00,
286,Saimasa63489202,@shahid_abbasi_1 pmln ppp jui f ptm bnp anp   all in one pdm kyhty hyn sath nutruls idary  bhe added hyn,,2022-01-11 19:07:46+00:00,
287,Granados114,ptm ya depositennnn,,2022-01-11 19:00:59+00:00,
288,anaftbananas,q suena jsdk ptm,she/her ! rcbyf,2022-01-11 18:53:31+00:00,
289,Tatian_2826,@perrogrosero njahaja ptm ya deja se renegarrr,,2022-01-11 18:46:48+00:00,
290,tsugiana,"cerita ada seorang ibu cari kost utk sebulan krn anak pertamanya akan mendapat tindakan surgery di lambung. singkat cerita bahwa anak ini punya penyakit lambung dan ibunya melarang buat vacc tp anaknya maksa,hrs krn syarat kuliah ptm. konsultasi lah dg dr dibilang aman.",Indonesia,2022-01-11 18:21:18+00:00,
291,H00NS0L28,ptm yoongi,21 | she/her,2022-01-11 18:12:42+00:00,
292,EvelynL27,"@pedrocastillote ptm,ni ollanta era tan idiota.","Lima, Peru ",2022-01-11 18:10:53+00:00,
293,camgoodvibescyp,ptm kadjanananansndnskdkskdjajabajananajandkdndkakakjasjsnd,,2022-01-11 17:22:59+00:00,
294,anakmsebeth,besok ptm lagi 🙂🙂🙂hrus gmn 😀🙂😀🙂,,2022-01-11 17:03:40+00:00,
295,Sashacantuu1,y esa vieja q o q? ptm,she/her,2022-01-11 16:50:09+00:00,
296,caramuelll,@uinwsfess full ptm nder biar materi kuliahnya masuk ke otak,Indonesia,2022-01-11 16:44:30+00:00,
297,matchashaw,woy lemes bgt lah bsk ptm pulang jam set 4 terus nyampe rumah paling jam 5 atau set 6 abis itu meet sagu,𝐇² 𝐖𝐨𝐫𝐥𝐝🇮🇩,2022-01-11 16:44:20+00:00,
298,Melrbourne,"@tanyakanrl ini bisa jadi faktor kelamaan pjj sih, pas ptm langsung dikagetin sama full day, ya wajar wajar aja kalo ngeluh buat yang belum terbiasa", isfp,2022-01-11 16:38:54+00:00,
299,uinwsfess,"ws! nanti kira-kira kuliah full ptm atau blended ya? kalo kalian milih, mau milih full ptm atau blended?","Ngaliyan, Indonesia",2022-01-11 16:37:23+00:00,
300,PatrioticKZ,pmln vs pti ppp vs pti juif vs pti mqm vs pti bap vs pti jip vs pti anp vs pti  bnp vs pti  tlp vs pti ptm vs pti  neutrals vs pti bureaucracy vs pti ecp vs pti  judiciary vs pti  کوئی رہ تو نئیں گیا؟,ظفروال، نارووال پاکستان,2022-01-11 16:22:26+00:00,
301,kissbumblee,@jjeon_jk07 ptm hot* jaksjsuka,"Lima, Peru",2022-01-11 16:17:31+00:00,
302,araflws,ok tidur bsok ptm,dont trust people,2022-01-11 16:05:26+00:00,
303,haechisan,"dari 15 siswi sesi pertama, gw emng deket bngt sama 1 orang (sebut sj a). nah, ketika situasi udh mmperbolehkan utk ptm 100%, disitulah gw mulai sering berinteraksi sm yng namanya c, dia ini sesi 2. knp gw bisa srng berinteraksi sama c? krn si c ini ternyata dekat sama si a. -c",,2022-01-11 16:05:10+00:00,
304,haechisan,"gw pngn ngeluapin aja disini. soalnya di rl lagi gak ada yng bisa diajak ngomong.  sejak masuk smk, yng emng dari awal jadwal ptm udah dibagi jadi 2 sesi dalam 1 kelas, dan gw termasuk yang sesi pertama alias abs 1-15. membuat gw lebih deket sama anak² dari abs 1-15. -c",,2022-01-11 16:05:09+00:00,
305,thewayinoo,mw mengabadikan kalo ini bukti hari terakhir stream volunteer genie di era ptm 👆🏼👆🏼,kim sunoo,2022-01-11 16:00:42+00:00,
306,eaudesemicologn,@jellypopcorngum iyaa mungkin berlindung dgn kebijakan 100% ptm ituuu 🤷,,2022-01-11 15:42:57+00:00,
307,dizzy4sch,"gue bru"" ini balik ptm dan sdh merasa jompo",,2022-01-11 15:41:33+00:00,
308,crofflepuf,agak nyesel pas jaman daring kls 11 itu gabisa manfaatin waktu buat perbaikin nilai biar bisa kedapetan eligible.. ini malah kepikiran linjur padahal dulu agak suka sama kimia/fisika eh pas ptm ngang ngong ngang ngong makjrengg dapet rank 19 😭 dahal pas kls 10 rank6..,,2022-01-11 15:30:03+00:00,
309,astriniadwin,"@kemdikbud_ri @suhartisutar peningkatan covid klaster sekolah efek ptm ni 🙄.. buka tutup kelas yg +c tp klo ada yg ke 2 kali, cm yg + aj ga sekolah.. anak yg sakit jd sekeluarga yg sakit 😒 blm lagi yg ga lulus screening malah ga bisa sekolah. tolong dunk di pantau dan ditinjau kebijakan ptm nya #mshpandem","Jakarta,indonesia",2022-01-11 15:19:21+00:00,
310,astriniadwin,"@kemenkesri peningkatan covid klaster sekolah efek ptm ni 🙄.. buka tutup kelas yg +c tp klo ada yg ke 2 kali, cm yg + aj ga sekolah.. anak yg sakit jd sekeluarga yg sakit 😒 tolong dunk di pantau dan ditinjau kebijakan ptm nya #masihpandemi","Jakarta,indonesia",2022-01-11 15:14:55+00:00,
311,pindiwal18,@asimkha796 @iam_shahista @maryamnsharif ajkal fifthiye patwariyon or ptm ky kutty bny hovy hain,,2022-01-11 15:08:02+00:00,
312,Nowhere_Girl,wey ya denmen awa ptm,nowhere,2022-01-11 15:03:47+00:00,
313,intinyabuatjbjb,"mulai ptm wkwkw. nah jadi inisiatif lah kami buat main dan kenalan lah ya, udah was wes wos di grub dan jadi lah cus. nah pas selesai main ini tbtb ada bocoran kalo kami di aduin keluar² rumah pas masa covid, kek waw  wat epen aya naon kitu kan",,2022-01-11 14:48:23+00:00,
314,eaudesemicologn,"@jellypopcorngum berani yhhh padahal skolahnya deket dinas pendidikan wkwkwk mungkin karna dh turun kebijakan 100% ptm. tpi ad yg bilang juga itu diawasin guru, hmmm gatau bingung dah",,2022-01-11 14:34:22+00:00,
315,salimakbar35,"@inayat01 kam-az-kam app ko pdm ki tara baat nahi karni chahiye, ya pher app log be ptm ki saat ho?","Riyadh, Kingdom of Saudi Arabia",2022-01-11 14:30:27+00:00,
316,BidikUtama,– fakultas hukum (fh) universitas sultan ageng tirtayasa (untirta) telah mengumumkan skema perkuliahan semester gasal 2022. ditetapkan bahwa semester 7 tidak mendapatkan porsi perkuliahan tatap muka (ptm). (3/8)  selengkapnya :,Jalan Raya Jakarta KM.4 Serang,2022-01-11 14:29:34+00:00,
317,jawapos,"aturan baru ptm di surabaya, kelas wajib libur bila ada siswa positif",Jakarta,2022-01-11 14:27:55+00:00,
318,wterkay,semenjak sekolah udah 100% ptm w jarang buka akun ini,,2022-01-11 14:25:26+00:00,
319,albedokapur,"aneh orang baru masuk sma tapi dah punya pacar ajah gilaaaaaa tutor dong dik, aku hampir 2 tahun ptm tapi ga dapet doi di rl😔",,2022-01-11 14:16:54+00:00,
320,Sukabumizone,pemdes cijangkar laksanakan program bian dan bulan gerakan deteksi dini ptm,"Sukabumi, West Java",2022-01-11 14:16:32+00:00,
321,jawapos,surabaya belum sosialisasi 3 poin baru ptm sesuai se mendikbudristek,Jakarta,2022-01-11 14:12:47+00:00,
322,iS2mnji,jay sin mangas audyauaua ptm,"Wonyo, minji y BIBI mias",2022-01-11 14:10:30+00:00,
323,mgknr__,moots ku disini ada yang jadi pjj lagi kaah apa masih ptm?,gyuldaengie ☻,2022-01-11 14:06:55+00:00,
324,nevertiten,"sebaiknya ptm off dulu barang seminggu- 2 minggu ini, @nadiemmakarim. anak saya positif &amp; banyak temennya juga sakit. dulu bisa off 2 tahun kok, cm minggu ini deh. kalo anak yg kena kasihan, bisa demam tinggi.",,2022-01-11 14:05:43+00:00,
325,ayatoomuch,"pe er pe er, udah ptm pe er bukannya makin dikit inih malah makin banyak najiss",,2022-01-11 14:05:38+00:00,
326,Chrs49937622,@carnobaraa setuju kondisi udh g bisa di paksain sekolah karena sekolah gw aja  banyak yang pjj lagi bahkan ada juga sekolah yang langsung tutup karena covid makin tinggi kondisi udh g mungkin buat ptm bahaya tinggal tunggu pemerintah keluarin aturan baru aj,,2022-01-11 14:03:13+00:00,
327,achiachie1,"@detikcom katanya kl ada siswa positif di pjj kan.tapi sma negri dki sdh ada byk pcr positif. tetap ptm, nasib yg isoman gimana. dikit2 kl sklh ditanya nunggu puskesmas. kita sekolah di sma apa di puskesmas. @nadiemmakarim @kemdikbud_ri   @tvonenews @cnnindonesia",,2022-01-11 14:00:47+00:00,
328,liauulia,"6 bulan lalu cuma bisa berandai andai dapet kerjaan padahal udh dikasih rejeki bisa ngelesin anak sd smp di rumah, trus mulai sepi krna anak anak udh ptm, keterima kampus mengajar tapi dengan berat hati dilepas, tapi malah diganti yg jauh lebih baik sama allah",,2022-01-11 13:58:54+00:00,
329,uniyangverse,bunny won dancing to ptm #정원 🐰💗,a life saver 양정원.,2022-01-11 13:48:33+00:00,
330,medcom_id,kepala sekolah percaya ptm 100% minimalisir lebarnya learning loss,"Jakarta Capital Region, Indone",2022-01-11 13:40:15+00:00,
331,wldks_chill,2 tahun pjj penghapus gw aman bahkan dari baru sampe ukurannya mengecil. ini baru ptm 1 bulan dah ilang tuh penghapus yaampun 😭,,2022-01-11 13:36:32+00:00,
332,lovingJayP4rk,besok ptm lagi cuy,Jay's heart,2022-01-11 13:29:24+00:00,
333,laraiib_Reza,@numangillani @warw0unded leave him a year back when ispr was against ptm he was hating them ab ager ajj dg sb apni muhabbat ka ixhar ptm se kr dein to dawar or pashteen se zaida naik or parheiz gar banda nhi milna inhin is dunya me. he can go to any extent tk defend wrong doings of bajra,"Islamabad, Pakistan",2022-01-11 13:28:59+00:00,
334,ssweetlyy,"@sheisstruggling aman juga!! alhamdulillah ptm 100% ga seburuk yg aku bayangin, jadi bisa ngikutin dan so far so good, gatau kedepannya☺️ bakal kuat apa ngga nya nih kls 12 wkwkwk, tapi semoga ttp kuat yh 😎 semangat terus buat kamu!! dan aku juga hihi 😬🫶🏻",soshum,2022-01-11 13:27:29+00:00,
335,KalyampudiAppa1,@marthyrao they are the durmargulu neechulu vedavalu. ptm batch. rastra vinasakarulu.,,2022-01-11 13:21:41+00:00,
336,scmels,sejak ptm alat tulis gw mulai ilang2an emang asu yg minjem gak dibalikin penggaris sm pulpen gww,,2022-01-11 13:12:36+00:00,
337,yourkento,"@ushiarin @schfess gua pas waktu awal-awal ptm jam 6.05-6.10 baru jalan, tapi sekarang ptm biasa jalanan mulai macet, jalan jam 5.50. perjalanan rumah - sekolah kurleb 8-15 menit.",anitwt — art acc,2022-01-11 12:38:42+00:00,
338,Notorious_Spy,@jvs2255 veedu ktm... schl ptm😒,Eℓ Dσяα∂σ🗡️🔨,2022-01-11 12:30:33+00:00,
